Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search_Testsuite,Firefox 68.0,,,2019-08-13 11:05:45,2019-08-13 11:06:25,39.618s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Search_Testcases,Firefox 68.0,,Search,2019-08-13 11:05:46,2019-08-13 11:06:25,39.410s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Configure_Search""), [""EnvName"":""QaTest"", ""Username"":""Ere""], STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-13 11:05:46,2019-08-13 11:06:06,19.805s,PASSED
delay(2),Firefox 68.0,,,2019-08-13 11:06:06,2019-08-13 11:06:08,2.004s,PASSED
"callTestCase(findTestCase(""Search/Search""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-13 11:06:08,2019-08-13 11:06:25,17.409s,PASSED
