Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity1,Chrome 75.0.3770.142,,,2019-07-18 15:00:51,2019-07-18 15:12:16,11m - 25.410s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/All_Sysadmin_Testcases,Chrome 75.0.3770.142,,,2019-07-18 15:00:51,2019-07-18 15:03:32,2m - 40.723s,FAILED
"callTestCase(findTestCase(""Main Login Page/Create Multiple Environments and Login""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:00:51,2019-07-18 15:01:33,41.650s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:01:33,2019-07-18 15:01:36,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_Different_Features""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:01:36,2019-07-18 15:01:43,7.775s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:01:43,2019-07-18 15:01:46,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:01:46,2019-07-18 15:01:51,4.113s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:01:51,2019-07-18 15:01:54,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:01:54,2019-07-18 15:03:00,1m - 6.015s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:03:00,2019-07-18 15:03:03,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:03:03,2019-07-18 15:03:12,9.362s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:03:12,2019-07-18 15:03:15,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:03:15,2019-07-18 15:03:20,5.186s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:03:20,2019-07-18 15:03:23,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/AmazonConnection/Create_Amazon_Connection""), [""variable"":url_sysadmin], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:03:23,2019-07-18 15:03:32,8.422s,FAILED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.142,,,2019-07-18 15:03:32,2019-07-18 15:03:32,0.003s,PASSED
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Create_Email_Channel_Contact_NonAdminUser_Group,Chrome 75.0.3770.142,,,2019-07-18 15:03:32,2019-07-18 15:06:38,3m - 6.546s,FAILED
"callTestCase(findTestCase(""Admin/Admin_Settings""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:03:32,2019-07-18 15:04:23,51.519s,FAILED
delay(2),Chrome 75.0.3770.142,,,2019-07-18 15:04:23,2019-07-18 15:04:25,2.002s,PASSED
"callTestCase(findTestCase(""Admin/ES_LIcensesTests""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:04:25,2019-07-18 15:06:38,2m - 12.918s,FAILED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.142,,,2019-07-18 15:06:38,2019-07-18 15:06:38,0.000s,PASSED
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Create_Run_Publisb_Projects and Communications,Chrome 75.0.3770.142,,,2019-07-18 15:06:38,2019-07-18 15:11:35,4m - 57.408s,FAILED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_Batch""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:06:38,2019-07-18 15:06:51,13.261s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:06:51,2019-07-18 15:06:53,2.001s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_Interractive""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:06:53,2019-07-18 15:06:59,5.608s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:06:59,2019-07-18 15:07:01,2.002s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_OnDemand""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:07:01,2019-07-18 15:07:06,5.312s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:07:06,2019-07-18 15:07:08,2.002s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_FromWorkflow_Batch""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 15:07:08,2019-07-18 15:07:16,7.251s,PASSED
