Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity1,Chrome 75.0.3770.100,,,2019-07-15 16:48:34,2019-07-15 16:55:27,6m - 53.391s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/All_Sysadmin_Testcases,Chrome 75.0.3770.100,,,2019-07-15 16:48:34,2019-07-15 16:51:14,2m - 39.660s,FAILED
"callTestCase(findTestCase(""Main Login Page/Create Multiple Environments and Login""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:48:34,2019-07-15 16:49:09,34.609s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:49:09,2019-07-15 16:49:12,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_Different_Features""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:49:12,2019-07-15 16:49:19,6.839s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:49:19,2019-07-15 16:49:22,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:49:22,2019-07-15 16:49:25,3.634s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:49:25,2019-07-15 16:49:28,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:49:28,2019-07-15 16:50:34,1m - 5.435s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:34,2019-07-15 16:50:37,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:37,2019-07-15 16:50:43,6.239s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:43,2019-07-15 16:50:46,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:46,2019-07-15 16:50:51,4.762s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:51,2019-07-15 16:50:54,3.001s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Edit Account/Edit Account""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:54,2019-07-15 16:50:56,2.732s,FAILED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:56,2019-07-15 16:50:59,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Login Page/Reset password""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:50:59,2019-07-15 16:51:14,14.252s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-15 16:51:14,2019-07-15 16:51:14,0.000s,PASSED
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Create_Email_Channel_Contact_NonAdminUser_Group,Chrome 75.0.3770.100,,,2019-07-15 16:51:14,2019-07-15 16:52:27,1m - 13.022s,PASSED
"callTestCase(findTestCase(""Admin/Admin_Settings""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:51:14,2019-07-15 16:51:56,42.230s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:51:56,2019-07-15 16:51:58,2.002s,PASSED
"callTestCase(findTestCase(""Contacts/Create_Contact""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:51:58,2019-07-15 16:52:05,6.525s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:05,2019-07-15 16:52:07,2.002s,PASSED
"callTestCase(findTestCase(""Groups_Users/Create Group_Users""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:07,2019-07-15 16:52:27,20.177s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-15 16:52:27,2019-07-15 16:52:27,0.000s,PASSED
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Create_Run_Publisb_Projects and Communications,Chrome 75.0.3770.100,,,2019-07-15 16:52:27,2019-07-15 16:54:48,2m - 21.126s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_Batch""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:27,2019-07-15 16:52:39,12.337s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:39,2019-07-15 16:52:41,2.002s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_Interractive""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:41,2019-07-15 16:52:47,5.579s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:47,2019-07-15 16:52:49,2.001s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_OnDemand""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:49,2019-07-15 16:52:54,5.307s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:54,2019-07-15 16:52:56,2.004s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Project_FromWorkflow_Batch""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:52:56,2019-07-15 16:53:03,7.208s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:53:03,2019-07-15 16:53:05,2.002s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Run_Communication_Batch""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:53:05,2019-07-15 16:53:21,15.688s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:53:21,2019-07-15 16:53:23,2.004s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Run_Communication_Interractive""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:53:23,2019-07-15 16:53:42,19.437s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:53:42,2019-07-15 16:53:44,2.002s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Run_Communication_OnDemand""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:53:44,2019-07-15 16:54:04,19.360s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:04,2019-07-15 16:54:06,2.003s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Run_Communication_FromWorkflow_Batch""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:06,2019-07-15 16:54:19,13.202s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:19,2019-07-15 16:54:21,2.004s,PASSED
"callTestCase(findTestCase(""Communications_Projects/PublishProject_NewEnv""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:21,2019-07-15 16:54:48,26.878s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-15 16:54:48,2019-07-15 16:54:48,0.000s,PASSED
,,,,,,,
Test Cases/Sysadmin Portal/ConfigureSearch_QaTest2,Chrome 75.0.3770.100,,,2019-07-15 16:54:48,2019-07-15 16:55:13,25.037s,FAILED
"callTestCase(findTestCase(""Sysadmin Login Page/login_Simple""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:48,2019-07-15 16:54:57,9.240s,PASSED
"click(findTestObject(""Sysadmin Portal/a_Environments""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:57,2019-07-15 16:54:57,0.131s,PASSED
"click(findTestObject(""Sysadmin Portal/Environments Page/select_2_Experience_Env""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:57,2019-07-15 16:54:58,0.648s,PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:58,2019-07-15 16:54:59,1.009s,PASSED
"click(findTestObject(""Sysadmin Portal/Environments Page/Page_Environments - ConfigSearch/a_Search""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:59,2019-07-15 16:54:59,0.062s,PASSED
"click(findTestObject(""Sysadmin Portal/Environments Page/Page_Environments - ConfigSearch/button_Configure""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:59,2019-07-15 16:54:59,0.081s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 16:54:59,2019-07-15 16:55:01,2.001s,PASSED
