Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity1,Chrome 75.0.3770.142,,,2019-07-18 12:20:46,2019-07-18 12:31:57,11m - 11.082s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/All_Sysadmin_Testcases,Chrome 75.0.3770.142,,,2019-07-18 12:20:46,2019-07-18 12:23:15,2m - 28.805s,FAILED
"callTestCase(findTestCase(""Main Login Page/Create Multiple Environments and Login""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:20:46,2019-07-18 12:21:24,37.737s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:21:24,2019-07-18 12:21:27,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_Different_Features""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:21:27,2019-07-18 12:21:34,6.876s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:21:34,2019-07-18 12:21:37,3.005s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:21:37,2019-07-18 12:21:40,3.571s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:21:40,2019-07-18 12:21:43,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:21:43,2019-07-18 12:22:49,1m - 5.492s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:22:49,2019-07-18 12:22:52,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:22:52,2019-07-18 12:22:58,6.326s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:22:58,2019-07-18 12:23:01,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-18 12:23:01,2019-07-18 12:23:06,4.758s,PASSED
