Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity1,Firefox 68.0,,,2019-08-05 15:42:20,2019-08-05 15:49:17,6m - 57.633s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/All_Sysadmin_Testcases,Firefox 68.0,,,2019-08-05 15:42:20,2019-08-05 15:44:20,2m - 0.181s,FAILED
"callTestCase(findTestCase(""Sysadmin Portal/Create Multiple Environments""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:42:20,2019-08-05 15:43:06,45.590s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:06,2019-08-05 15:43:09,3.007s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:09,2019-08-05 15:43:13,4.442s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:13,2019-08-05 15:43:13,0.000s,NOT_RUN
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:13,2019-08-05 15:43:13,0.001s,NOT_RUN
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:13,2019-08-05 15:43:16,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:16,2019-08-05 15:43:24,8.251s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:24,2019-08-05 15:43:27,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:27,2019-08-05 15:43:34,6.547s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:34,2019-08-05 15:43:37,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/AmazonConnection/Create_Amazon_Connection""), [""variable"":url_sysadmin], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:37,2019-08-05 15:43:41,3.986s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:41,2019-08-05 15:43:44,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Edit Account/Edit Account""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:43:44,2019-08-05 15:44:04,19.769s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:44:04,2019-08-05 15:44:07,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Login Page/Reset password""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:44:07,2019-08-05 15:44:20,13.373s,FAILED
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Create_Email_Channel_Contact_NonAdminUser_Group,Firefox 68.0,,,2019-08-05 15:44:20,2019-08-05 15:46:54,2m - 33.529s,FAILED
"callTestCase(findTestCase(""Admin/Admin_Settings""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:44:20,2019-08-05 15:45:36,1m - 15.538s,FAILED
delay(2),Firefox 68.0,,,2019-08-05 15:45:36,2019-08-05 15:45:38,2.002s,PASSED
"callTestCase(findTestCase(""Admin/ES_LIcensesTests""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:45:38,2019-08-05 15:46:21,43.448s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:46:21,2019-08-05 15:46:23,2.003s,PASSED
"callTestCase(findTestCase(""Contacts/Create_Contact""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:46:23,2019-08-05 15:46:30,6.549s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:46:30,2019-08-05 15:46:32,2.002s,PASSED
"callTestCase(findTestCase(""Groups_Users/Create Group_Users""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:46:32,2019-08-05 15:46:54,21.868s,PASSED
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Create_Run_Publisb_Projects and Communications,Firefox 68.0,,,2019-08-05 15:46:54,2019-08-05 15:48:40,1m - 46.448s,FAILED
"callTestCase(findTestCase(""Communications_Projects/Create_Projects""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:46:54,2019-08-05 15:47:05,11.269s,FAILED
"delay(2, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:47:05,2019-08-05 15:47:07,2.002s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Run_Communications""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:47:07,2019-08-05 15:47:30,23.165s,FAILED
"delay(2, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-05 15:47:30,2019-08-05 15:47:32,2.002s,PASSED
