Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1kEnv_350_649,Chrome 76.0.3809.132,,,2019-09-05 17:16:45,2019-09-05 18:09:08,52m - 22.391s,INCOMPLETE
,,,,,,,
Test Cases/Sysadmin Portal/Create 1k env - 1-649,Chrome 76.0.3809.132,,,2019-09-05 17:16:46,2019-09-05 18:09:08,52m - 22.211s,FAILED
"callTestCase(findTestCase(""Sysadmin Login Page/login_Sysadmin""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.132,,,2019-09-05 17:16:46,2019-09-05 17:16:57,11.042s,PASSED
"click(findTestObject(""Sysadmin Portal/a_Environments""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.132,,,2019-09-05 17:16:57,2019-09-05 17:16:57,0.171s,PASSED
"for ([i = 520, i < 650, (i++)])",Chrome 76.0.3809.132,,,2019-09-05 17:16:57,2019-09-05 18:09:05,52m - 7.685s,FAILED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.132,,,2019-09-05 18:09:05,2019-09-05 18:09:08,3.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 76.0.3809.132,,,2019-09-05 18:09:08,2019-09-05 18:09:08,0.025s,PASSED
