Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity Check,Chrome 75.0.3770.142,,,2019-08-07 18:29:22,2019-08-07 18:36:56,7m - 33.486s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/All_Sysadmin_Testcases,Chrome 75.0.3770.142,,,2019-08-07 18:29:22,2019-08-07 18:31:12,1m - 50.034s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Create Multiple Environments""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:29:23,2019-08-07 18:30:10,47.468s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:10,2019-08-07 18:30:13,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:13,2019-08-07 18:30:17,3.573s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:17,2019-08-07 18:30:17,0.000s,NOT_RUN
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:17,2019-08-07 18:30:17,0.001s,NOT_RUN
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:17,2019-08-07 18:30:20,3.006s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:20,2019-08-07 18:30:28,8.283s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:28,2019-08-07 18:30:31,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:31,2019-08-07 18:30:37,6.412s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:37,2019-08-07 18:30:40,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/AmazonConnection/Create_Amazon_Connection""), [""variable"":url_sysadmin], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-07 18:30:40,2019-08-07 18:30:44,3.708s,PASSED
